Id,Name,Street Address,Suburb,Region,Store Type,CanPurchase,CanTopUp,CanRegisterCard,CanRefund,CanAlterExpire,AcceptsCash,AcceptsEFTPOS,AcceptsCreditCard,SellsGoCardAdult,SellsGoCardChild,SellsGoCardSenior,SellsGoCardConcession,SellsTouristPack,SellsSEQCard,unused1,unused2,Created,Modified,Active,Notes,Lat,Lng
1,Albany Creek News,"Shop 13, 700 Albany Creek Road",Albany Creek,Brisbane North,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2010/09/23 11:03,1, ,-27.3453,152.97
2,Albion station,49 Albion Road,Albion,Brisbane North,station,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2010/09/23 11:04,1, ,-27.4292,153.04
3,7-Eleven Algester,169 Algester Road,Algester,Brisbane South,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2012/01/16 15:25,1, ,-27.6125,153.039
4,Ashgrove News,"Ashgrove Shopping Centre, 16 Ashgrove Avenue",Ashgrove,Brisbane North,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2010/09/23 11:26,1, ,-27.4447,152.994
5,7-Eleven Ashmore,400 Nerang Road,Ashmore,Gold Coast,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2012/09/25 11:31,1, ,-27.9788,153.38
6,7-Eleven Albany Creek,70 Albany Creek Road,Albany Creek,Brisbane North,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2012/09/25 11:31,1, ,-27.364,153.013
7,Nextra Day and Night News,1374 Gympie Road,Aspley,Brisbane North,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2010/09/23 11:28,1, ,-27.3626,153.017
8,7-Eleven Beenleigh,2-6 City Road,Beenleigh,Southern,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2012/01/16 15:17,1, ,-27.7078,153.204
9,Beenleigh station,Alamein Street,Beenleigh,Southern,station,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2010/09/23 11:33,1, ,-27.7174,153.204
12,7-Eleven Birkdale,"Bailey Road, corner Birkdale Road",Birkdale,Eastern,retailer,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2009/09/11 12:18,2012/01/16 15:22,1, ,-27.5095,153.206
